"sub","hit","miss","fa","nr","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts5_0301D_17_01",361,41,16,0,894,1312,0.898009950248756,0.0175824175824176,1.27029350892332,-2.10645514872739,3.37674865765071,0.870967741935484,0.946236559139785,0.945454545454545,0.833333333333333,0.943820224719101,0.7,0.722222222222222,0.647058823529412,27,88,104,20,84,14,13,11,3.23743275697255,3.71586440913431,3.70874780394327,3.07387671482909,3.69413146786718,2.63085566143543,2.69591094657717,2.48384709255594,TRUE,TRUE
"lts5_0301D_18_01",317,83,8,0,906,1314,0.7925,0.0087527352297593,0.815126332701155,-2.37591551419199,3.19104184689314,0.96551724137931,0.927835051546392,0.865979381443299,0.666666666666667,0.828282828282828,0.45,0.277777777777778,0.1875,28,90,84,16,82,9,5,3,4.19456110704205,3.83577063074473,3.48350016090249,2.80664281348745,3.32331678574911,2.25025416733691,1.78645971634221,1.48876895517311,FALSE,FALSE
"lts5_0301D_19_01",383,19,55,1,856,1314,0.95273631840796,0.0603070175438596,1.67198457802637,-1.55220142568191,3.22418600370828,0.967741935483871,0.981481481481482,0.990291262135922,0.833333333333333,0.987654320987654,0.80952380952381,0.944444444444444,0.6875,30,106,102,20,80,17,17,11,3.40079771418332,3.63755699171374,3.88961912467388,2.51962299178361,3.79839896132272,2.42834427492875,3.14542024370496,2.04097783679658,TRUE,TRUE
"lts5_0305I_20_01",389,15,11,1,898,1314,0.962871287128713,0.0120879120879121,1.78502398976094,-2.25432349708328,4.03934748684422,0.967741935483871,0.978260869565217,0.990566037735849,1,0.979166666666667,0.85,0.833333333333333,0.823529411764706,30,90,105,24,94,17,15,14,4.10291978558469,4.27340969766642,4.6024536978148,Inf,4.29115762878467,3.29075688657707,3.22174506318498,3.18322298873055,TRUE,TRUE
"lts5_0306D_22_01",360,43,32,0,878,1313,0.893300248138958,0.0351648351648352,1.24427191528652,-1.80978154897693,3.05405346426344,0.9,0.952830188679245,0.948979591836735,0.875,0.933333333333333,0.75,0.611111111111111,0.470588235294118,27,101,93,21,84,15,11,8,3.09133311452153,3.4827189365819,3.44482081577864,2.96013092935293,3.31086749502095,2.48427129917301,2.09199769603943,1.73599027516865,TRUE,TRUE
"lts5_0307D_23_01",302,101,16,55,840,1314,0.749379652605459,0.017563117453348,0.672538883480695,-2.1069001582389,2.77943904171959,0.419354838709677,0.838095238095238,0.845360824742268,0.791666666666667,0.868131868131868,0.25,0.444444444444444,0.470588235294118,13,88,82,19,79,5,8,8,1.90335592670641,3.09355979475479,3.12363759690306,2.91911795973881,3.22450391465654,1.43241040804282,1.96718985935703,2.03310888443062,FALSE,TRUE
"lts5_0307D_24_01",346,54,21,8,885,1314,0.865,0.0229759299781182,1.1030625561996,-1.9958352367807,3.09889779298029,0.689655172413793,0.971153846153846,0.923076923076923,0.75,0.948453608247423,0.714285714285714,0.388888888888889,0.5625,20,101,84,18,92,15,7,9,2.49070840034932,3.8938638894027,3.42191210905355,2.67032498697678,3.62587646593502,2.56178405871356,1.71361908971819,2.15314592139087,TRUE,TRUE
"lts5_0307D_25_01",361,42,32,0,879,1314,0.895781637717122,0.0351262349066959,1.25787566825785,-1.81027940087221,3.06815506913006,0.806451612903226,0.962962962962963,0.967391304347826,0.88,0.967391304347826,0.8,0.555555555555556,0.352941176470588,25,104,89,22,89,16,10,6,2.6751737595575,3.59643496213329,3.65404442986855,2.9852661929383,3.65404442986855,2.65190063444513,1.94998969975407,1.43288745704366,TRUE,TRUE
"lts5_0308D_26_01",299,101,33,14,867,1314,0.7475,0.0361050328227571,0.666643306386307,-1.79779143189625,2.46443473828256,0.566666666666667,0.837837837837838,0.829787234042553,0.75,0.758620689655172,0.6,0.444444444444444,0.4375,17,93,78,18,66,12,8,7,1.96568543668436,2.78340184876352,2.75111622778988,2.47228118209233,2.49966402731821,2.05113853503205,1.65808113301439,1.64048074728608,TRUE,TRUE
"lts5_0308D_27_01",355,47,19,16,877,1314,0.883084577114428,0.0208333333333333,1.19054858564607,-2.03683413170139,3.22738271734746,0.9,0.932038834951456,0.971153846153846,0.958333333333333,0.885057471264368,0.7,0.555555555555556,0.4375,27,96,101,23,77,14,10,7,3.31838569724599,3.52798332186278,3.93486278432339,3.76849852782363,3.23748912965257,2.56123464440943,2.17654443058325,1.87952344709122,TRUE,TRUE
"lts5_0308D_28_01",342,61,34,5,872,1314,0.84863523573201,0.0373216245883644,1.0305976713778,-1.78265028276594,2.81324795414373,0.806451612903226,0.972477064220184,0.894117647058824,0.708333333333333,0.909090909090909,0.8,0.473684210526316,0.1875,25,106,76,17,90,16,9,3,2.64754464145122,3.70116425988359,3.03137792800167,2.33117256546403,3.11782801888487,2.62427151633885,1.71663847039009,0.89550372374706,FALSE,FALSE
"lts5_0318D_29_01",394,7,8,0,905,1314,0.982543640897756,0.00876232201533406,2.10936928923561,-2.37551154785913,4.48488083709474,0.966666666666667,0.989583333333333,0.99,0.958333333333333,0.989690721649485,1,1,0.875,29,95,99,23,96,20,18,14,4.20942618367505,4.68650288611655,4.70185942189997,4.10717594398138,4.69040878331921,Inf,Inf,3.52586092823514,TRUE,TRUE
"lts5_0318D_30_01",346,56,37,19,855,1313,0.860696517412935,0.0406147091108672,1.0834539840065,-1.74359681994117,2.82705080394768,0.8,0.918181818181818,0.921348314606742,0.8,0.936170212765957,0.75,0.833333333333333,0.0625,24,101,82,20,88,15,15,1,2.58521805351409,3.13654201667119,3.15779619718578,2.58521805351409,3.26699317065981,2.41808657013726,2.71101838604288,0.209476275588629,FALSE,FALSE
"lts5_0318D_31_01",312,91,20,0,890,1313,0.774193548387097,0.021978021978022,0.75272879425817,-2.01450973381435,2.76723852807252,0.71875,0.956521739130435,0.871559633027523,0.583333333333333,0.857142857142857,0.45,0.210526315789474,0.0625,23,88,95,14,78,9,4,1,2.5936418960699,3.72618504032408,3.14830429260715,2.22493812806227,3.08208025769249,1.88884838695927,1.20991335345405,0.480389189461802,FALSE,FALSE
"lts5_0319D_32_01",326,77,30,0,881,1314,0.80893300248139,0.0329308452250274,0.873971095274307,-1.83936382980349,2.7133349250778,0.7,0.941747572815534,0.888888888888889,0.64,0.911111111111111,0.476190476190476,0.444444444444444,0.235294117647059,21,97,88,16,82,10,8,4,2.36376434251153,3.40897819543361,3.06000417865084,2.19782262305469,3.18699270737838,1.77964673001817,1.69965353092163,1.11784154582115,FALSE,TRUE
"lts5_0319D_33_01",348,53,25,4,883,1313,0.86783042394015,0.0274122807017544,1.11619388343423,-1.92026399833714,3.03645788177137,0.862068965517241,0.899082568807339,0.97029702970297,0.76,0.867469879518072,0.75,0.722222222222222,0.5,25,98,98,19,72,15,13,8,3.00992598028324,3.19660539552688,3.80544103076918,2.62656656117723,3.0347745018071,2.59475374853322,2.50971979618692,1.92026399833714,TRUE,TRUE
"lts5_0320D_34_01",326,76,16,3,893,1314,0.810945273631841,0.0175438596491228,0.881385038623373,-2.1073446081073,2.98872964673067,0.758620689655172,0.932038834951456,0.940594059405941,0.64,0.831460674157303,0.619047619047619,0.388888888888889,0.1875,22,96,95,16,74,13,7,3,2.80921720352926,3.59849379826869,3.66712460021055,2.46580340135849,3.06729804193423,2.41032505616351,1.82512846104479,1.22019804908842,FALSE,FALSE
"lts5_0320D_35_01",347,55,18,1,892,1313,0.86318407960199,0.0197585071350165,1.0947370754505,-2.05876230580439,3.1534993812549,0.866666666666667,0.936363636363636,0.920454545454545,0.68,0.936842105263158,0.8,0.555555555555556,0.3125,26,103,81,17,89,16,10,5,3.16953392244118,3.58370766356701,3.46689794695248,2.5264611049189,3.58755522027465,2.90038353937731,2.19847260468626,1.56998589468972,TRUE,TRUE
"lts5_0321D_21_01",352,51,20,0,891,1314,0.873449131513648,0.021953896816685,1.14284792450341,-2.0149699895104,3.15781791401381,0.566666666666667,0.953271028037383,0.918367346938776,0.833333333333333,0.943820224719101,0.8,0.777777777777778,0.529411764705882,17,102,90,20,84,16,14,9,2.18286399429851,3.69240246199237,3.40914319837953,2.9823915556121,3.60264630865019,2.85659122308332,2.77967966329679,2.08876126331867,TRUE,TRUE
"lts5_0321D_36_01",337,66,48,7,856,1314,0.836228287841191,0.0526893523600439,0.979073985654232,-1.61931872087559,2.59839270652982,0.758620689655172,0.920792079207921,0.893203883495146,0.769230769230769,0.876404494382023,0.666666666666667,0.611111111111111,0.4375,22,93,92,20,78,14,11,7,2.32119131629755,3.02973825221382,2.86306696787874,2.35563463825172,2.77651785547561,2.05004602017104,1.90153486793809,1.46200803626542,TRUE,TRUE
"lts5_0321D_37_01",384,21,8,1,898,1312,0.948148148148148,0.00882028665931643,1.62715725404548,-2.37307726472775,4.00023451877323,0.866666666666667,0.97029702970297,0.957446808510638,0.846153846153846,1,0.95,0.833333333333333,0.875,26,98,90,22,100,19,15,14,3.48384888136453,4.25825429715979,4.09487379712881,3.39315349751395,Inf,4.01793089167922,3.34049883082945,3.52342664510376,TRUE,TRUE
