"sub","hit","miss","fa","nr","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts4_0501D_14_01",192,48,18,80,976,1314,0.8,0.0167597765363128,0.841621233572914,-2.12580435731244,2.96742559088536,0.833333333333333,0.888888888888889,0.886363636363636,0.72,0.925,0.8,0.526315789473684,0.411764705882353,25,40,39,18,37,16,10,7,3.09322592341415,3.34644470615979,3.33321840753465,2.70864586458366,3.5653358282509,2.96742559088536,2.19181616968828,1.90279652637208,TRUE,TRUE
"lts4_0501D_15_01",196,46,39,3,1031,1315,0.809917355371901,0.0363466915191053,0.877591784523564,-1.79475098682297,2.67234277134653,0.878787878787879,0.826086956521739,0.931818181818182,0.833333333333333,0.875,0.75,0.631578947368421,0.375,29,38,41,20,35,15,12,6,2.96369983135445,2.73356530369987,3.28422102915091,2.76217255292467,2.94510036719897,2.46924073701905,2.13078912719479,1.47611162285859,TRUE,TRUE
"lts4_0501D_16_01",116,124,25,6,1043,1314,0.483333333333333,0.0232774674115456,-0.0417892978164538,-1.99032691636958,1.94853761855313,0.857142857142857,0.638297872340426,0.522727272727273,0.28,0.475,0.19047619047619,0.388888888888889,0.117647058823529,24,30,23,7,19,4,7,2,3.05789744024772,2.34423968803449,2.04732659072796,1.40748540909837,1.92762013842637,1.11418406712274,1.70811076930707,0.803495483613764,FALSE,FALSE
"lts4_0501D_17_01",166,73,13,0,1061,1313,0.694560669456067,0.0121042830540037,0.508819626463885,-2.25380296661685,2.76262259308073,0.9,0.869565217391304,0.822222222222222,0.5,0.725,0.5,0.388888888888889,0.25,27,40,37,12,29,10,7,4,3.53535453216145,3.37814119818549,3.17766998736116,2.25380296661685,2.85156309265933,2.25380296661685,1.97158681955434,1.57931321642077,FALSE,TRUE
"lts4_0501D_18_01",152,88,20,1,1054,1315,0.633333333333333,0.0186046511627907,0.340694827087795,-2.08346012930533,2.42415495639313,0.866666666666667,0.760869565217391,0.704545454545455,0.538461538461538,0.725,0.4,0.222222222222222,0.3125,26,35,31,14,29,8,4,5,3.19423174594212,2.79256263271436,2.62097923550811,2.18001874459497,2.68122025534781,1.83011302616953,1.31875045551895,1.59468371819066,FALSE,TRUE
"lts4_0502D_19_01",174,65,29,2,1043,1313,0.728033472803347,0.0270018621973929,0.606876229279501,-1.92680669842776,2.53368292770726,0.774193548387097,0.869565217391304,0.818181818181818,0.666666666666667,0.825,0.5,0.555555555555556,0.3125,24,40,36,16,33,10,10,5,2.67953549268593,3.0511449299964,2.83526456696514,2.35753399772322,2.86139598950124,1.92680669842776,2.06651699730962,1.43803028731309,TRUE,TRUE
"lts4_0502D_20_01",223,16,5,26,1043,1313,0.933054393305439,0.00465549348230913,1.49893223278053,-2.60041946995085,4.09935170273137,0.933333333333333,0.956521739130435,0.954545454545455,0.958333333333333,0.926829268292683,1,0.944444444444444,0.6875,28,44,42,23,38,20,17,11,4.10150541599487,4.31209477646058,4.29104109953575,4.33208386607309,4.05299565076285,Inf,4.1936382879739,3.08919588106552,TRUE,TRUE
"lts4_0502D_21_01",224,18,16,12,1044,1314,0.925619834710744,0.0149253731343284,1.44392408596421,-2.17206518837743,3.61598927434164,0.967741935483871,0.978260869565217,0.977272727272727,1,0.951219512195122,0.80952380952381,0.789473684210526,0.6875,30,45,43,24,39,17,15,11,4.02066147687884,4.19115138896058,4.17248875748341,Inf,3.82885995419341,3.04820803762428,2.97666156873773,2.6608415994921,TRUE,TRUE
"lts4_0503D_22_01",116,123,18,6,1051,1314,0.485355648535565,0.0167441860465116,-0.0367161931637153,-2.12617883032635,2.08946263716263,0.8,0.630434782608696,0.522727272727273,0.36,0.475,0.3,0.277777777777778,0.0625,24,29,23,9,19,6,5,1,2.96780006389926,2.45918392852365,2.18317850468472,1.76772003707516,2.06347205238314,1.60177831761831,1.53672303247657,0.592058285973803,FALSE,FALSE
"lts4_0503D_23_01",170,68,13,4,1059,1314,0.714285714285714,0.0120817843866171,0.565948821932863,-2.2545184903878,2.82046731232067,0.9,0.847826086956522,0.840909090909091,0.791666666666667,0.55,0.6,0.333333333333333,0.5,27,39,37,19,22,12,6,8,3.5360700559324,3.2816727633028,3.25271966254069,3.06673629188772,2.38017983724288,2.5078655935236,1.82379119109234,2.2545184903878,TRUE,TRUE
"lts4_0503D_24_01",199,40,16,1,1058,1314,0.832635983263598,0.0148837209302326,0.964634259436035,-2.17317110239043,3.13780536182646,0.903225806451613,0.869565217391304,0.909090909090909,0.75,0.925,0.85,0.777777777777778,0.3125,28,40,40,18,37,17,14,5,3.47332453575385,3.29750933395907,3.50834883850937,2.84766085258651,3.61270257332889,3.20960449188422,2.93788077617682,1.68439469127576,TRUE,TRUE
"lts4_0514D_25_01",170,70,29,8,1037,1314,0.708333333333333,0.0270018621973929,0.548522282698098,-1.92680669842776,2.47532898112586,0.933333333333333,0.893617021276596,0.844444444444444,0.708333333333333,0.7,0.4,0.277777777777778,0.25,28,42,38,17,28,8,5,4,3.42789264447178,3.1728024430547,2.93970003587245,2.47532898112586,2.4512072111358,1.67345959529196,1.33735090057798,1.25231694823168,FALSE,TRUE
"lts4_0515D_26_01",215,25,16,1,1058,1315,0.895833333333333,0.0148837209302326,1.2581615610631,-2.17317110239043,3.43133266345353,0.866666666666667,0.914893617021277,0.955555555555556,1,0.925,0.9,0.777777777777778,0.625,26,43,43,24,37,18,14,10,3.28394271902722,3.54469157519326,3.87445926924269,Inf,3.61270257332889,3.45472266793503,2.93788077617682,2.4918104663548,TRUE,TRUE
"lts4_0515D_27_01",201,40,18,51,1003,1313,0.83402489626556,0.0167910447761194,0.970193184182067,-2.12505421258854,3.09524739677061,0.870967741935484,0.891304347826087,0.931818181818182,0.84,0.878048780487805,0.7,0.722222222222222,0.5,27,41,41,21,36,14,13,8,3.2560318208337,3.35854877455723,3.61452425491648,3.1195120957983,3.29034220228523,2.64945472529658,2.71451001043832,2.12505421258854,TRUE,TRUE
"lts4_0516D_29_01",110,128,18,70,988,1314,0.46218487394958,0.016728624535316,-0.0949308556776601,-2.12655290485375,2.03162204917609,0.6,0.543478260869565,0.613636363636364,0.458333333333333,0.475,0.2,0.277777777777778,0.0625,18,25,27,11,19,4,5,1,2.37990000798955,2.23575338654518,2.41536225992821,2.02191944923967,2.06384612691053,1.28493167128083,1.53709710700397,0.592432360501201,FALSE,FALSE
"lts4_0516D_30_01",183,57,62,3,1009,1314,0.7625,0.0577281191806331,0.714367440280187,-1.57413501807882,2.28850245835901,0.733333333333333,0.847826086956522,0.863636363636364,0.833333333333333,0.853658536585366,0.7,0.578947368421053,0.25,22,39,38,20,35,14,11,4,2.19706074128891,2.60128929099382,2.67093858017234,2.54155658418053,2.62638924363505,2.09853553078686,1.77333634286809,0.899645267882742,FALSE,TRUE
"lts4_0517D_31_01",202,35,19,6,1051,1313,0.852320675105485,0.0176579925650558,1.04643844687569,-2.10471659415279,3.15115504102848,0.931034482758621,0.956521739130435,0.909090909090909,0.75,0.975,0.85,0.5,0.5,27,44,40,18,39,17,9,8,3.58825645355409,3.81639190066252,3.43989433027173,2.77920634434887,4.06468057869284,3.14114998364658,2.10471659415279,2.10471659415279,TRUE,TRUE
"lts4_0517D_32_01",210,32,35,0,1037,1314,0.867768595041322,0.0326492537313433,1.11590497997735,-1.84320895818177,2.95911393815911,0.9,0.978260869565217,0.911111111111111,0.84,0.926829268292683,0.80952380952381,0.777777777777778,0.4375,27,45,41,21,38,17,14,7,3.12476052372637,3.86229515876491,3.19083783575665,2.83766684139152,3.29578513899377,2.71935180742861,2.60791863196815,1.6858982735716,TRUE,TRUE
"lts4_0523D_33_01",159,80,22,9,1043,1313,0.665271966527197,0.0204841713221601,0.426894643830781,-2.04385025571172,2.4707448995425,0.9,0.869565217391304,0.75,0.583333333333333,0.675,0.45,0.222222222222222,0.294117647058824,27,40,33,14,27,9,4,5,3.32540182125632,3.16818848728036,2.7183400059078,2.25427864995964,2.4976124458816,1.91818890885665,1.27914058192533,1.50245517058263,FALSE,TRUE
"lts4_0523D_34_01",190,50,29,6,1039,1314,0.791666666666667,0.0270018621973929,0.812217801499913,-1.92680669842776,2.73902449992767,0.766666666666667,0.891304347826087,0.863636363636364,0.75,0.875,0.727272727272727,0.5,0.625,23,41,38,18,35,16,9,10,2.6547199893094,3.16030126039645,3.02361026052127,2.60129644862384,3.07715607880377,2.531392045011,1.92680669842776,2.24544606239213,TRUE,TRUE
"lts4_0524D_35_01",178,62,38,11,1024,1313,0.741666666666667,0.0354147250698975,0.648492180592857,-1.80656936215322,2.45506154274608,0.8,0.804347826086957,0.840909090909091,0.833333333333333,0.75,0.666666666666667,0.473684210526316,0.4375,24,37,37,20,30,14,9,7,2.64819059572614,2.6638236823744,2.80477053430611,2.77399092825492,2.4810591123493,2.23729666144868,1.74055754977738,1.64925867754305,TRUE,TRUE
"lts4_0524D_36_01",172,67,20,0,1055,1314,0.719665271966527,0.0186046511627907,0.581847425507128,-2.08346012930533,2.66530755481246,0.9,0.782608695652174,0.772727272727273,0.75,0.75,0.75,0.333333333333333,0.352941176470588,27,36,34,18,30,15,6,6,3.36501169484993,2.86449394082804,2.83131872406863,2.75794987950141,2.75794987950141,2.75794987950141,1.65273283000988,1.70606818547678,TRUE,TRUE
"lts4_0525D_37_01",201,37,26,29,1021,1314,0.84453781512605,0.0241635687732342,1.01328433074319,-1.97448045631686,2.98776478706004,0.8,0.911111111111111,0.909090909090909,0.916666666666667,0.925,0.80952380952381,0.611111111111111,0.5625,24,41,40,22,37,17,11,9,2.81610168988977,3.32210933389174,3.30965819243579,3.35747458341749,3.41401192725531,2.8506233055637,2.25669660337936,2.13179114092703,TRUE,TRUE
"lts4_0525D_38_01",172,67,31,7,1037,1314,0.719665271966527,0.0288372093023256,0.581847425507128,-1.89816447765492,2.48001190316204,0.6,0.826086956521739,0.795454545454545,0.76,0.825,0.6,0.5,0.5,18,38,35,19,33,12,9,8,2.15151158079072,2.83697879453182,2.72365896858415,2.604467040495,2.8327537687284,2.15151158079072,1.89816447765492,1.89816447765492,TRUE,TRUE
"lts4_0529D_39_01",137,101,33,4,1037,1312,0.57563025210084,0.0307262569832402,0.190726984995233,-1.87022547169253,2.06095245668776,0.862068965517241,0.739130434782609,0.636363636363636,0.458333333333333,0.55,0.4,0.263157894736842,0.25,25,34,28,11,22,8,5,4,2.95988745363863,2.51089236161163,2.21898116720957,1.76559201607845,1.9958868185476,1.61687836855673,1.23658547091282,1.19573572149644,FALSE,TRUE
"lts4_0529D_40_01",213,28,5,0,1068,1314,0.883817427385892,0.00465983224603914,1.19428847264054,-2.60009982748346,3.794388300124,0.9,0.978260869565217,0.954545454545455,0.692307692307692,0.975609756097561,0.7,0.833333333333333,0.75,27,45,42,18,40,14,15,12,3.88165139302806,4.6191860280666,4.29072145706836,3.10250205085681,4.57060513065379,3.1245003401915,3.56752139358516,3.27458957767954,TRUE,TRUE
"lts4_0529D_41_01",160,78,15,0,1060,1313,0.672268907563025,0.013953488372093,0.446186983049937,-2.19859157260603,2.64477855565596,0.966666666666667,0.688888888888889,0.727272727272727,0.6,0.8,0.25,0.555555555555556,0.375,29,31,32,15,32,5,10,6,4.03250620842194,2.69129490566607,2.80317691918926,2.45193867574183,3.04021280617894,1.52410182240995,2.33830187148789,1.87995220864165,FALSE,TRUE
