"sub","hit","miss","fa","nr","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts4_0402I_01_01",213,25,19,1,1056,1314,0.894957983193277,0.0176579925650558,1.25333440176837,-2.10471659415279,3.35805099592116,0.931034482758621,0.956521739130435,1,0.88,0.875,0.9,0.777777777777778,0.5625,27,44,44,22,35,18,14,9,3.58825645355409,3.81639190066252,Inf,3.27970338621888,3.2550659745288,3.38626815969739,2.86942626793918,2.26202727876296,TRUE,TRUE
"lts4_0418D_03_01",150,88,33,3,1040,1314,0.630252100840336,0.0306691449814126,0.33252111516308,-1.87104899724502,2.2035701124081,0.766666666666667,0.695652173913043,0.75,0.666666666666667,0.75,0.4,0.166666666666667,0.3125,23,32,33,16,30,8,3,5,2.59896228812666,2.38298521111635,2.5455387474411,2.30177629654048,2.5455387474411,1.61770189410922,0.903627431143317,1.38227258613035,FALSE,FALSE
"lts4_0418D_04_01",218,23,16,1,1056,1314,0.904564315352697,0.0149114631873253,1.30800571966647,-2.17243421806489,3.48043993773136,0.9,0.957446808510638,0.866666666666667,0.92,0.925,0.85,0.833333333333333,0.9375,27,45,39,23,37,17,15,15,3.45398578360949,3.89423075046595,3.28320583470168,3.57750577837452,3.61196568900335,3.20886760755868,3.13985578416659,3.70655476241744,TRUE,TRUE
"lts4_0420D_06_01",199,41,15,2,1057,1314,0.829166666666667,0.0139664804469274,0.950877299401941,-2.19822661568283,3.14910391508477,0.833333333333333,0.978260869565217,0.931818181818182,0.84,0.853658536585366,0.8,0.5,0.4375,25,45,41,21,35,16,9,7,3.16564818178453,4.21731281626597,3.68769665801077,3.19268449889258,3.25048084123906,3.03984784925575,2.19822661568283,2.04091593107266,TRUE,TRUE
"lts4_0420D_07_01",131,108,23,5,1047,1314,0.548117154811716,0.0213953488372093,0.120905746676803,-2.02574719480497,2.14665294148177,0.666666666666667,0.760869565217391,0.659090909090909,0.375,0.65,0.3,0.263157894736842,0.0625,20,35,29,9,26,6,5,1,2.45647449410043,2.73484969821399,2.43573051699231,1.7071078308406,2.41106766121254,1.50134668209693,1.39210719402527,0.491626650452424,FALSE,FALSE
"lts4_0420D_08_01",159,81,18,6,1050,1314,0.6625,0.0167597765363128,0.419295753041396,-2.12580435731244,2.54510011035384,0.933333333333333,0.872340425531915,0.772727272727273,0.625,0.6,0.428571428571429,0.388888888888889,0.0625,28,41,34,15,24,9,7,1,3.62689030335647,3.263328712785,2.87366295207575,2.44444372127682,2.37915146044824,1.94579198751974,1.84358821024994,0.591683812959898,FALSE,FALSE
"lts4_0424D_09_01",194,46,8,17,1049,1314,0.808333333333333,0.0074487895716946,0.871770972189959,-2.43485935084039,3.30663032303035,0.806451612903226,0.91304347826087,0.840909090909091,0.833333333333333,0.825,0.75,0.631578947368421,0.625,25,42,37,20,33,15,12,10,3.29975370952567,3.79459673477899,3.43306052299327,3.40228091694209,3.36944864191387,3.10934910103647,2.77089749121221,2.75349871480476,TRUE,TRUE
"lts4_0425D_10_01",178,61,22,2,1051,1314,0.744769874476987,0.0204651162790698,0.658121205057987,-2.04423605857546,2.70235726363345,0.866666666666667,0.91304347826087,0.844444444444444,0.666666666666667,0.8,0.65,0.333333333333333,0.3125,26,42,38,16,32,13,6,5,3.15500767521225,3.40397344251407,3.05712939602016,2.47496335787092,2.88585729214838,2.42955652498303,1.61350875928001,1.5554596474608,TRUE,TRUE
"lts4_0426D_12_01",172,70,18,2,1052,1314,0.710743801652893,0.0167910447761194,0.555558955479983,-2.12505421258854,2.68061316806853,0.806451612903226,0.891304347826087,0.772727272727273,0.56,0.75609756097561,0.5,0.555555555555556,0.411764705882353,25,41,34,14,31,10,10,7,2.98994857127383,3.35854877455723,2.87291280735185,2.27602342808532,2.81885862032491,2.12505421258854,2.26476451147041,1.90204638164818,TRUE,TRUE
"lts4_0426D_13_01",137,103,28,7,1039,1314,0.570833333333333,0.0260707635009311,0.178496164222209,-1.94196343491731,2.12045959913952,0.689655172413793,0.804347826086957,0.704545454545455,0.56,0.475,0.3,0.368421052631579,0.176470588235294,20,37,31,14,19,6,7,3,2.43683659848593,2.79921775513849,2.47948254112008,2.09293265041408,1.87925665697409,1.41756292220927,1.60592529454548,1.01306394327004,FALSE,FALSE
