"sub","hit","miss","fa","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts3_0226I_01_01",230,7,135,942,1314,0.970464135021097,0.125348189415042,1.8876591037548,-1.14865958047688,3.03631868423168,0.966666666666667,1,1,1,1,0.95,0.944444444444444,0.75,29,45,44,24,40,19,17,12,2.98257421629279,Inf,Inf,Inf,Inf,2.79351320742835,2.74187839849993,1.82314933067296,TRUE,TRUE
"lts3_0226I_02_01",227,11,67,1009,1314,0.953781512605042,0.0622676579925651,1.6826804165742,-1.53601249449321,3.21869291106741,1,0.978260869565217,1,0.958333333333333,0.95,0.95,0.944444444444444,0.6875,30,45,44,23,38,19,17,11,Inf,3.55509869507635,Inf,3.26767689061545,3.18086612144468,3.18086612144468,3.12923131251626,2.02478890560788,TRUE,TRUE
"lts3_0227I_03_01",209,29,19,1057,1314,0.878151260504202,0.0176579925650558,1.16579465449301,-2.10471659415279,3.2705112486458,0.966666666666667,0.956521739130435,0.977272727272727,0.875,0.85,0.75,0.777777777777778,0.5625,29,44,43,21,34,15,14,9,3.9386312299687,3.81639190066252,4.10514016325877,3.2550659745288,3.14114998364658,2.77920634434887,2.86942626793918,2.26202727876296,TRUE,TRUE
"lts3_0228D_06_01",207,31,64,1012,1314,0.869747899159664,0.0594795539033457,1.12520021590282,-1.55915749701696,2.68435771291978,0.966666666666667,1,0.931818181818182,0.791666666666667,0.875,0.75,0.722222222222222,0.5625,29,46,41,19,35,15,13,9,3.39307213283288,Inf,3.0486275393449,2.37137529851688,2.70950687739297,2.23364724721305,2.14861329486674,1.71646818162714,TRUE,TRUE
"lts3_0228I_04_01",177,61,92,984,1314,0.743697478991597,0.0855018587360595,0.654786782103585,-1.36898578790412,2.02377257000771,0.733333333333333,0.869565217391304,0.840909090909091,0.75,0.8,0.75,0.5,0.25,22,40,37,18,32,15,9,4,1.99191151111421,2.49332401947276,2.36718696005701,2.0434755381002,2.21060702147704,2.0434755381002,1.36898578790412,0.694496037708041,FALSE,TRUE
"lts3_0228I_05_01",236,1,34,1043,1314,0.9957805907173,0.031569173630455,2.6339891455408,-1.85821599660834,4.49220514214914,1,1,1,1,1,1,0.944444444444444,1,29,46,44,24,40,20,17,16,Inf,Inf,Inf,Inf,Inf,Inf,3.45143481463139,Inf,TRUE,TRUE
"lts3_0301D_07_01",202,35,119,958,1314,0.852320675105485,0.110492107706592,1.04643844687569,-1.22391520940663,2.27035365628232,0.8,0.977777777777778,0.931818181818182,0.875,0.8,0.75,0.833333333333333,0.625,24,44,41,21,32,15,15,10,2.06553644297955,3.23378998160202,2.71338525173457,2.37426458978264,2.06553644297955,1.89840495960271,2.19133677550833,1.54255457337101,TRUE,TRUE
"lts3_0301D_08_01",199,38,48,1030,1315,0.839662447257384,0.0445269016697588,0.993071512731737,-1.7004101532526,2.69348166598434,0.96551724137931,0.891304347826087,0.931818181818182,0.833333333333333,0.875,0.8,0.555555555555556,0.5,28,41,41,20,35,16,10,8,3.51905574610266,2.93390471522129,3.18988019558054,2.6678317193543,2.85075953362861,2.54203138682552,1.84012045213446,1.7004101532526,TRUE,TRUE
"lts3_0302D_10_01",216,21,144,933,1314,0.911392405063291,0.133704735376045,1.34937922615093,-1.10904801121568,2.45842723736662,0.931034482758621,0.978260869565217,1,1,0.925,0.95,0.611111111111111,0.5625,27,45,44,24,37,19,11,9,2.59258787061698,3.12813421179882,Inf,Inf,2.54857948215414,2.75390163816715,1.39126415827819,1.26635869582585,TRUE,TRUE
"lts3_0302I_09_01",234,4,54,1022,1314,0.983193277310924,0.050185873605948,2.12467853925422,-1.64305406719554,3.76773260644976,1,1,1,1,1,1,0.888888888888889,0.875,30,46,44,24,40,20,16,14,Inf,Inf,Inf,Inf,Inf,Inf,2.86369441604289,2.79340344757155,TRUE,TRUE
