"sub","hit","miss","fa","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts_1027L_11_01",204,36,8,632,880,0.85,0.0125,1.03643338949379,-2.24140272760494,3.27783611709873,1,0.978260869565217,0.933333333333333,0.72,0.875,0.65,0.722222222222222,0.5,30,45,42,18,35,13,13,8,Inf,4.26048892818809,3.74248867364897,2.82424423487616,3.39175210798095,2.62672319401251,2.83085852545472,2.24140272760494,TRUE,TRUE
"lts_1028I_12_01",201,36,6,638,881,0.848101265822785,0.0093167701863354,1.02832395080247,-2.35278228677488,3.38110623757734,1,0.933333333333333,0.863636363636364,0.916666666666667,0.875,0.8,0.666666666666667,0.375,30,42,38,22,35,16,12,6,Inf,3.8538682328189,3.44958584886839,3.73577641387552,3.50313166715089,3.19440352034779,2.78350958607034,2.0341429228105,TRUE,TRUE
"lts_1028I_13_01",208,35,21,616,880,0.8559670781893,0.032967032967033,1.06237419540783,-1.83887165399534,2.90124584940317,0.966666666666667,0.916666666666667,0.909090909090909,0.76,0.878048780487805,0.75,0.842105263157895,0.5625,29,44,40,19,36,15,16,9,3.67278628981126,3.22186578109598,3.17404939011428,2.54517421683543,3.00415964369203,2.51336140419142,2.84201962165788,1.99618233860551,TRUE,TRUE
"lts_1028I_14_01",227,13,35,605,880,0.945833333333333,0.0546875,1.60572960605901,-1.60100866488608,3.20673827094508,0.966666666666667,0.956521739130435,0.955555555555556,1,0.975609756097561,1,0.722222222222222,0.875,29,44,43,24,40,20,13,14,3.43492330070199,3.3126839713958,3.30229683173834,Inf,3.5715139680564,Inf,2.19046446273585,2.75135804526208,TRUE,TRUE
"lts_1103L_15_01",210,30,29,611,880,0.875,0.0453125,1.15034938037601,-1.69211001119283,2.84245939156884,1,1,0.886363636363636,0.88,0.875,0.681818181818182,0.777777777777778,0.625,29,46,39,22,35,15,14,10,Inf,Inf,2.89952406141503,2.86709680325892,2.84245939156884,2.1648991321851,2.45681968497922,2.0107493751572,TRUE,TRUE
"lts_1103L_16_01",236,1,2,641,880,0.9957805907173,0.0031104199066874,2.6339891455408,-2.73590809132563,5.36989723686643,1,1,1,1,1,0.952380952380952,1,1,29,45,44,24,40,20,18,16,Inf,Inf,Inf,Inf,Inf,4.40429928527271,Inf,Inf,TRUE,TRUE
"lts_1103L_17_01",144,94,38,604,880,0.605042016806723,0.059190031152648,0.266419737049675,-1.56160927859112,1.8280290156408,0.633333333333333,0.630434782608696,0.704545454545455,0.541666666666667,0.625,0.45,0.555555555555556,0.5,19,29,31,13,25,9,10,8,1.90230410567892,1.89461437678842,2.0991283847939,1.6662427342052,1.8802486425555,1.43594793173605,1.70131957747298,1.56160927859112,TRUE,TRUE
"lts_1104C_18_01",223,17,22,618,880,0.929166666666667,0.034375,1.4696127443196,-1.82005913441812,3.28967187873772,0.9,0.956521739130435,0.977272727272727,0.916666666666667,0.975,0.952380952380952,0.777777777777778,0.823529411764706,27,44,43,22,39,20,14,14,3.10161069996272,3.53173444092785,3.8204827035241,3.20305326151876,3.78002311895818,3.4884503283652,2.58476880820451,2.74895862606539,TRUE,TRUE
"lts_1105L_19_01",229,12,6,633,880,0.950207468879668,0.00938967136150235,1.64686857557565,-2.3498824097452,3.99675098532084,0.964285714285714,0.958333333333333,1,0.96,1,1,0.8,0.75,27,46,44,24,40,20,16,12,4.15262550048439,4.08154680586744,Inf,4.10056848099737,Inf,Inf,3.19150364331811,3.02437215994128,TRUE,TRUE
"lts_1106I_20_01",230,10,14,626,880,0.958333333333333,0.021875,1.73166439612225,-2.01647815742854,3.74814255355079,1,0.978723404255319,0.977777777777778,1,0.975,0.95,0.888888888888889,0.75,30,46,44,24,39,19,16,12,Inf,4.04454730236245,4.02635292962393,Inf,3.9764421419686,3.66133178438001,3.23711850627589,2.69096790762462,TRUE,TRUE
"lts_1109I_21_01",214,27,3,636,880,0.887966804979253,0.00469483568075117,1.21578616599536,-2.59753074632036,3.81331691231571,1,1,0.956521739130435,0.88,0.925,0.761904761904762,0.666666666666667,0.5,29,46,44,22,37,16,12,8,Inf,Inf,4.30920605283008,3.77251753838645,4.03706221725881,3.30997377870984,3.02825804561581,2.59753074632036,TRUE,TRUE
"lts_1110L_22_01",193,45,2,640,880,0.810924369747899,0.00311526479750779,0.881307772218607,-2.73539586885122,3.61670364106983,0.966666666666667,0.891304347826087,0.886363636363636,0.791666666666667,0.825,0.7,0.666666666666667,0.375,29,41,39,19,33,14,12,6,4.56931050466714,3.96889043081991,3.94280991907342,3.54761367035114,3.6699851599247,3.25979638155926,3.16612316814668,2.41675650488685,TRUE,TRUE
"lts_1110L_23_01",226,13,80,561,880,0.945606694560669,0.124804992199688,1.60367091190327,-1.15129721042128,2.75496812232455,0.966666666666667,1,0.954545454545455,0.96,1,0.9,0.944444444444444,0.625,29,46,42,24,40,18,17,10,2.98521184623719,Inf,2.84191884000618,2.90198328167345,Inf,2.43284877596588,2.74451602844433,1.46993657438565,TRUE,TRUE
"lts_1110L_24_01",228,11,22,619,880,0.95397489539749,0.0343213728549142,1.68468061140281,-1.82076395477627,3.50544456617908,0.967741935483871,1,0.977272727272727,0.92,0.951219512195122,0.8,1,0.9375,30,44,43,23,39,16,18,15,3.66936024327768,Inf,3.82118752388225,3.22583551508591,3.47755872059225,2.66238518834919,Inf,3.35488449912882,TRUE,TRUE
"lts_1110L_26_01",223,14,11,632,880,0.940928270042194,0.0171073094867807,1.56261380208832,-2.11753322034852,3.68014702243685,1,1,0.977272727272727,0.958333333333333,1,0.95,0.777777777777778,0.5625,29,46,43,23,40,19,14,9,Inf,Inf,4.1179567894545,3.84919761647077,Inf,3.76238684729999,2.88224289413491,2.27484390495869,TRUE,TRUE
"lts_1112I_25_01",225,15,47,593,880,0.9375,0.0734375,1.53412054435255,-1.45065841678219,2.98477896113474,0.935483870967742,0.956521739130435,0.977272727272727,1,0.926829268292683,1,0.944444444444444,0.625,29,44,43,24,38,20,17,10,2.96858757637647,3.16233372329192,3.45108198588817,Inf,2.90323459759419,Inf,3.04387723480524,1.76929778074657,TRUE,TRUE
"lts_1112L_27_01",233,9,33,605,880,0.962809917355372,0.0517241379310345,1.78426776672059,-1.62836140671691,3.4126291734375,1,0.978723404255319,0.977272727272727,0.923076923076923,0.975,0.95,0.888888888888889,0.941176470588235,30,46,43,24,39,19,16,16,Inf,3.65643055165081,3.62878497582289,3.05443827898975,3.58832539125696,3.27321503366838,2.84900175556426,3.19308787807871,TRUE,TRUE
"lts_1112L_28_01",228,14,57,583,882,0.942148760330578,0.0890625,1.5730705667117,-1.34655064151374,2.91962120822544,0.967741935483871,0.956521739130435,0.954545454545455,0.958333333333333,0.975609756097561,0.952380952380952,0.888888888888889,0.764705882352941,30,44,42,23,40,20,16,13,3.19514693001515,3.05822594802347,3.03717227109864,3.07821503763599,3.31705594468407,3.01494183546082,2.56719099036109,2.06807292549608,TRUE,TRUE
"lts_1113I_29_01",233,6,7,634,880,0.97489539748954,0.0109204368174727,1.95817735773432,-2.29312388502831,4.25130124276263,1,0.956521739130435,0.934782608695652,1,1,1,1,0.9375,29,44,43,24,40,20,18,15,Inf,4.00479919153804,3.80551347109599,Inf,Inf,Inf,Inf,3.82724442938085,TRUE,TRUE
"lts_1117L_30_01",233,6,25,616,880,0.97489539748954,0.0390015600624025,1.95817735773432,-1.76239181778785,3.72056917552217,1,1,0.977272727272727,1,1,1,0.894736842105263,0.8125,30,46,43,24,40,20,17,13,Inf,Inf,3.76281538689383,Inf,Inf,Inf,3.01451133805307,2.64953837680673,TRUE,TRUE
"lts_1117L_31_01",209,30,18,623,880,0.874476987447699,0.0280811232449298,1.14781238091596,-1.90977455752286,3.05758693843882,1,0.978260869565217,0.866666666666667,0.958333333333333,0.9,0.75,0.777777777777778,0.4375,30,45,39,23,36,15,14,7,Inf,3.928860758106,3.02054617415964,3.6414389536451,3.19132612306746,2.58426430771894,2.67448423130925,1.75246387291269,TRUE,TRUE
"lts_1117L_32_01",212,28,6,634,880,0.883333333333333,0.009375,1.19181617168139,-2.35046442310908,3.54228059479047,1,0.936170212765957,0.886363636363636,0.884615384615385,0.925,0.75,0.777777777777778,0.6875,29,44,39,23,37,15,14,11,Inf,3.87386077382771,3.55787847333128,3.548844125416,3.78999589404753,3.02495417330516,3.11517409689547,2.83924083422375,TRUE,TRUE
"lts_1117L_33_01",234,3,13,630,880,0.987341772151899,0.0202177293934681,2.23653945714085,-2.04927267773215,4.285812134873,1,1,1,0.958333333333333,0.975,0.95,1,1,29,46,44,23,39,19,18,16,Inf,Inf,Inf,3.78093707385439,4.0092366622722,3.69412630468362,Inf,Inf,TRUE,TRUE
"lts_1117L_34_01",162,79,26,613,880,0.672199170124481,0.0406885758998435,0.445993889616069,-1.74275081155661,2.18874470117268,0.645161290322581,0.717391304347826,0.727272727272727,0.583333333333333,0.666666666666667,0.9,0.722222222222222,0.25,20,33,32,14,28,18,13,4,2.11504017202181,2.31786009283505,2.34733615813985,1.95317920580454,2.17347811085207,3.02430237710122,2.33220660940639,1.06826106136053,FALSE,TRUE
"lts_1117L_35_01",234,5,10,631,880,0.97907949790795,0.015600624024961,2.03509808962019,-2.15449660344523,4.18959469306541,1,0.978723404255319,1,1,1,1,0.888888888888889,0.875,30,46,44,24,40,20,16,14,Inf,4.18256574837913,Inf,Inf,Inf,Inf,3.37513695229257,3.30484598382123,TRUE,TRUE
"lts_1118I_36_01",229,10,55,586,880,0.9581589958159,0.0858034321372855,1.72971051903122,-1.36705883666925,3.09676935570046,1,0.957446808510638,0.977272727272727,0.88,0.975,1,1,0.8125,29,45,43,22,39,20,18,13,Inf,3.08885536907031,3.36748240577523,2.54204562873534,3.3270228212093,Inf,Inf,2.25420539568812,TRUE,TRUE
"lts_1119L_37_01",216,22,51,591,880,0.907563025210084,0.0794392523364486,1.3258965993182,-1.40885345614249,2.7347500554607,0.966666666666667,0.977777777777778,0.977272727272727,1,0.975,0.75,0.736842105263158,0.5,29,44,43,24,39,15,14,8,3.24276809195841,3.41872822833788,3.40927702524847,Inf,3.36881744068255,2.08334320633858,2.0424934569222,1.40885345614249,TRUE,TRUE
