"sub","hit","miss","fa","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts_1001L_01_01",220,19,36,605,880,0.920502092050209,0.0561622464898596,1.4084569162993,-1.58783129422111,2.99628821052041,0.966666666666667,0.978260869565217,0.977272727272727,0.916666666666667,0.975,0.85,0.684210526315789,0.75,29,45,43,22,39,17,13,12,3.42174593003702,3.60691749480425,3.58825486332709,2.97082542132175,3.54779527876116,2.6242646837149,2.06733694755206,2.26232104441719,TRUE,TRUE
"lts_1002I_02_01",221,19,4,637,881,0.920833333333333,0.0062402496099844,1.4106991784504,-2.49825894206474,3.90895812051514,1,0.978260869565217,0.933333333333333,0.916666666666667,0.975609756097561,0.9,0.888888888888889,0.5,30,45,42,22,40,18,16,8,Inf,4.51734514264789,3.99934488810877,3.88125306916538,4.46876424523507,3.77981050760934,3.71889929091209,2.49825894206474,TRUE,TRUE
"lts_1007I_03_01",220,19,44,597,880,0.920502092050209,0.0686427457098284,1.4084569162993,-1.48597591625714,2.89443283255644,0.966666666666667,0.933333333333333,0.977777777777778,0.875,0.95,0.904761904761905,0.888888888888889,0.6875,29,42,44,21,38,19,16,11,3.31989055207305,2.98706186230116,3.49585068845252,2.63632529663314,3.13082954320861,2.79514763304291,2.70661626510449,1.97475232737181,TRUE,TRUE
"lts_1008L_04_01",231,7,13,629,880,0.970588235294118,0.0202492211838006,1.88950996033343,-2.04862863520379,3.93813859553722,1,1,1,1,1,0.95,0.888888888888889,0.75,30,46,44,24,40,19,16,12,Inf,Inf,Inf,Inf,Inf,3.69348226215526,3.26926898405114,2.72311838539987,TRUE,TRUE
"lts_1013I_05_01",202,36,36,606,880,0.848739495798319,0.0560747663551402,1.03104224774394,-1.58860529192283,2.61964753966677,0.966666666666667,0.911111111111111,0.818181818181818,0.76,0.85,0.95,0.777777777777778,0.625,29,41,36,19,34,19,14,10,3.42251992773875,2.93623416949772,2.49706316046022,2.29490785476292,2.62503868141662,3.2334589188743,2.35331496570922,1.90724465588721,TRUE,TRUE
"lts_1014I_06_01",227,13,20,620,880,0.945833333333333,0.03125,1.60572960605901,-1.86273186742165,3.46846147348066,0.933333333333333,0.978723404255319,1,0.92,0.95,0.95,0.944444444444444,0.75,28,46,44,23,38,19,17,12,3.36381781346568,3.89080101235556,Inf,3.26780342773128,3.50758549437312,3.50758549437312,3.4559506854447,2.53722161761773,TRUE,TRUE
"lts_1015I_07_01",209,28,18,625,880,0.881856540084388,0.0279937791601866,1.18431872355524,-1.91113247829783,3.09545120185307,1,0.891304347826087,0.954545454545455,0.875,0.9,0.85,0.722222222222222,0.625,29,41,42,21,36,17,13,10,Inf,3.14462704026652,3.60175410788273,3.06148185867384,3.19268404384243,2.94756586779162,2.50058827614761,2.2297718422622,TRUE,TRUE
"lts_1015I_08_01",224,16,16,624,880,0.933333333333333,0.025,1.50108594604402,-1.95996398454005,3.46104993058408,1,0.978260869565217,1,0.88,0.878048780487805,1,0.833333333333333,0.75,30,45,44,22,36,20,15,12,Inf,3.9790501851232,Inf,3.13495077660614,3.12525197423674,Inf,2.92738555064176,2.63445373473614,TRUE,TRUE
"lts_1022L_09_01",230,10,34,606,880,0.958333333333333,0.053125,1.73166439612225,-1.61528033615581,3.34694473227806,0.966666666666667,0.957446808510638,0.977272727272727,1,0.975,0.952380952380952,0.833333333333333,0.9375,29,45,43,24,39,20,15,15,3.44919497197172,3.33707686855687,3.61570390526179,Inf,3.57524432069586,3.28367153010289,2.58270190225751,3.14940088050836,TRUE,TRUE
"lts_1026I_10_01",234,8,37,601,880,0.966942148760331,0.0579937304075235,1.83763842687806,-1.57184086865696,3.40947929553502,0.967741935483871,0.978260869565217,0.955555555555556,1,1,0.95,1,0.823529411764706,30,45,43,24,41,19,18,14,3.42043715715837,3.5909270692401,3.27312903550922,Inf,Inf,3.21669449560843,Inf,2.50074036030423,TRUE,TRUE
