"sub","hit","miss","fa","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts2_0412J_01_01",198,42,19,1054,1313,0.825,0.0177073625349487,0.93458929107348,-2.10358429528708,3.03817358636056,0.966666666666667,0.893617021276596,0.886363636363636,0.875,0.85,0.7,0.631578947368421,0.4375,29,42,39,21,34,14,12,7,3.937498931103,3.34958003991402,3.31099834550928,3.25393367566309,3.14001768478087,2.62798480799512,2.4396224356589,1.94627361067691,TRUE,TRUE
"lts2_0413J_02_01",232,8,23,1051,1314,0.966666666666667,0.021415270018622,1.83391463581591,-2.02535874867732,3.85927338449323,1,0.957446808510638,1,0.916666666666667,0.975,1,0.842105263157895,1,30,45,44,22,39,20,16,16,Inf,3.74715528107838,Inf,3.40835287577796,3.98532273321737,Inf,3.02850671633985,Inf,TRUE,TRUE
"lts2_0414J_03_01",209,30,34,1041,1314,0.874476987447699,0.0316279069767442,1.14781238091596,-1.85738911520642,3.00520149612237,0.733333333333333,0.977777777777778,0.888888888888889,0.875,0.902439024390244,0.85,0.888888888888889,0.75,22,44,40,21,37,17,16,12,2.4803148384165,3.8672638874018,3.07802946405377,3.00773849558242,3.1529641023041,2.8938225047002,3.07802946405377,2.5318788654025,TRUE,TRUE
"lts2_0415A_06_01",204,37,20,1053,1314,0.846473029045643,0.0186393289841566,1.02142327676859,-2.08269911729502,3.10412239406361,0.966666666666667,0.91304347826087,0.888888888888889,0.958333333333333,0.9,0.85,0.5,0.444444444444444,29,42,40,23,36,17,9,8,3.91661375311093,3.44243650123362,3.30333946614237,3.81436351341726,3.36425068283962,3.11913250678881,2.08269911729502,1.94298881841316,TRUE,TRUE
"lts2_0415L_04_01",211,28,9,1067,1315,0.882845188284519,0.00836431226765799,1.18933053659364,-2.39261851258098,3.58194904917462,1,0.956521739130435,0.909090909090909,0.875,0.875,0.761904761904762,0.611111111111111,0.875,30,44,40,21,35,16,11,14,Inf,4.10429381909071,3.72779624869992,3.54296789295699,3.54296789295699,3.10506154497047,2.67483465964349,3.54296789295699,TRUE,TRUE
"lts2_0415L_05_01",222,16,67,1008,1313,0.932773109243697,0.0623255813953488,1.49676743894378,-1.53554031244934,3.03230775139312,0.9,0.934782608695652,0.909090909090909,0.958333333333333,0.975,0.95,1,0.8125,27,43,40,23,39,19,18,13,2.81709187799394,3.04792989851702,2.87071804856828,3.26720470857159,3.4955042969894,3.18039393940081,Inf,2.42268687146822,TRUE,TRUE
"lts2_0419J_07_01",209,29,27,1049,1314,0.878151260504202,0.025092936802974,1.16579465449301,-1.95837630029674,3.12417095478976,0.933333333333333,0.91304347826087,0.931818181818182,0.666666666666667,0.95,0.85,0.722222222222222,0.875,28,42,41,16,38,17,13,14,3.45946224634077,3.31811368423535,3.44784634262468,2.3891035995922,3.60322992724821,2.99480968979053,2.54783209814652,3.10872568067275,TRUE,TRUE
"lts2_0420J_08_01",202,36,44,1032,1314,0.848739495798319,0.0408921933085502,1.03104224774394,-1.7404251839093,2.77146743165324,0.933333333333333,0.91304347826087,0.954545454545455,0.958333333333333,0.8,0.75,0.666666666666667,0.5,28,42,42,23,32,15,12,8,3.24151112995332,3.1001625678479,3.4310468134942,3.47208958003154,2.58204641748221,2.41491493410538,2.17115248320476,1.7404251839093,TRUE,TRUE
"lts2_0420J_09_01",226,14,55,1019,1314,0.941666666666667,0.0512104283054004,1.56891963249893,-1.63322893483835,3.20214856733727,0.967741935483871,0.978260869565217,1,1,0.975,0.9,0.888888888888889,0.588235294117647,30,45,44,24,39,18,16,10,3.48182522333976,3.65231513542149,Inf,Inf,3.5931929193784,2.91478050038295,2.8538692836857,1.85623676577871,TRUE,TRUE
"lts2_0420J_10_01",214,26,62,1011,1313,0.891666666666667,0.0577819198508854,1.23544034156125,-1.57366965927413,2.80911000083538,0.966666666666667,0.934782608695652,0.955555555555556,0.958333333333333,0.925,0.857142857142857,0.666666666666667,0.5625,29,43,43,23,37,18,12,9,3.40758429509005,3.08605924534181,3.27495782612639,3.30533405539638,3.01320113021259,2.64124018315227,2.00439695856959,1.7309803438843,TRUE,TRUE
"lts2_0422A_14_01",178,61,14,1061,1314,0.744769874476987,0.0130232558139535,0.658121205057987,-2.22551758993484,2.88363879499283,0.966666666666667,0.891304347826087,0.818181818181818,0.56,0.85,0.55,0.444444444444444,0.3125,29,41,36,14,34,11,8,5,4.05943222575075,3.45901215190353,3.13397545847222,2.37648680543162,3.26195097942863,2.35117893678991,2.08580729105298,1.73674117882017,TRUE,TRUE
"lts2_0422L_11_01",211,33,19,1052,1315,0.864754098360656,0.0177404295051354,1.10193069397484,-2.10282741069604,3.20475810467088,0.966666666666667,0.829787234042553,0.891304347826087,0.88,0.975,0.857142857142857,0.736842105263158,0.5625,29,39,41,22,39,18,14,9,3.93674204651195,3.05615220658966,3.33632197266473,3.27781420276213,4.06279139523609,3.17039793457418,2.73646741147574,2.26013809530621,TRUE,TRUE
"lts2_0422L_12_01",215,22,21,1056,1314,0.907172995780591,0.0194986072423398,1.32354558170644,-2.06421628139545,3.38776186310189,0.9,0.911111111111111,1,0.916666666666667,0.975,0.95,0.666666666666667,0.6875,27,41,44,22,39,19,12,11,3.34576784694005,3.41184515897034,Inf,3.44721040849609,4.02418026593551,3.70906990834693,2.49494358069091,2.55299269251012,TRUE,TRUE
"lts2_0422L_13_01",210,28,88,988,1314,0.882352941176471,0.0817843866171004,1.18683143275582,-1.39316873020868,2.5800001629645,0.7,0.91304347826087,0.886363636363636,1,0.925,0.95,0.833333333333333,0.8125,21,42,39,24,37,19,15,13,1.91756924291672,2.75290611414729,2.60058278043089,Inf,2.83270020114714,3.03802235716016,2.36059029631038,2.28031528922756,TRUE,TRUE
"lts2_0427J_15_01",137,101,24,1052,1314,0.57563025210084,0.0223048327137546,0.190726984995233,-2.00831653946686,2.19904352446209,0.933333333333333,0.688888888888889,0.533333333333333,0.583333333333333,0.525,0.5,0.388888888888889,0.125,28,31,24,14,21,10,7,2,3.50940248551088,2.5010198725269,2.09196827337399,2.21874493371478,2.07102331741007,2.00831653946686,1.72610039240435,0.857967159090851,FALSE,FALSE
"lts2_0427J_16_01",181,58,16,1059,1314,0.757322175732218,0.0148837209302326,0.697714675454982,-2.17317110239043,2.87088577784541,0.866666666666667,0.826086956521739,0.863636363636364,0.76,0.8,0.55,0.5,0.5,26,38,38,19,32,11,9,8,3.28394271902722,3.11198541926733,3.26997466448394,2.87947366523052,3.01479233596334,2.2988324492455,2.17317110239043,2.17317110239043,TRUE,TRUE
"lts2_0429A_18_01",200,41,48,1025,1314,0.829875518672199,0.0447343895619758,0.953673451573963,-1.69820657983842,2.65188003141239,0.766666666666667,0.869565217391304,0.863636363636364,0.72,0.85,0.8,1,0.722222222222222,23,40,38,18,34,16,18,13,2.42611987072007,2.82254481140706,2.79501014193194,2.28104808710964,2.73463996933221,2.53982781341134,Inf,2.2876623776882,TRUE,TRUE
"lts2_0429J_17_01",187,52,37,1038,1314,0.782426778242678,0.0344186046511628,0.78041533652943,-1.81948670521552,2.59990204174495,0.96551724137931,0.829787234042553,0.795454545454545,0.8,0.9,0.6,0.555555555555556,0.4375,28,39,35,20,36,12,10,7,3.63813229806558,2.77281150110915,2.64498119614476,2.66110793878844,3.10103827076012,2.07283380835132,1.95919700409738,1.66217602060535,TRUE,TRUE
"lts2_0511L_19_01",198,40,23,1053,1314,0.831932773109244,0.0213754646840149,0.961831098569778,-2.02613522396763,2.98796632253741,0.966666666666667,0.933333333333333,0.909090909090909,0.875,0.85,0.714285714285714,0.5,0.5,29,42,40,21,34,15,9,8,3.86004985978354,3.52722117001165,3.36131296008656,3.17648460434363,3.06256861346142,2.59208404590049,2.02613522396763,2.02613522396763,TRUE,TRUE
"lts2_0513L_20_01",165,75,16,1058,1314,0.6875,0.0148975791433892,0.488776411114669,-2.17280285580517,2.66157926691984,0.833333333333333,0.869565217391304,0.681818181818182,0.64,0.75609756097561,0.6,0.333333333333333,0.3125,25,40,30,16,31,12,6,5,3.14022442190687,3.29714108737381,2.64559197679744,2.53126164905636,2.86660726354154,2.42614995894097,1.74207555650971,1.6840264446905,TRUE,TRUE
"lts2_0513L_21_01",214,26,13,1061,1314,0.891666666666667,0.0121042830540037,1.23544034156125,-2.25380296661685,3.4892433081781,0.9,0.956521739130435,0.911111111111111,0.958333333333333,0.975,0.75,0.888888888888889,0.529411764705882,27,44,41,23,39,15,16,9,3.53535453216145,3.96547827312658,3.60143184419174,3.9854673627391,4.2137669511569,2.92829271681293,3.4744433154642,2.32759424042512,TRUE,TRUE
"lts2_0521L_23_01",220,20,19,1055,1314,0.916666666666667,0.0176908752327747,1.38299412710064,-2.10396213115845,3.48695625825909,1,0.956521739130435,0.955555555555556,0.958333333333333,0.925,0.75,0.833333333333333,0.764705882352941,30,44,43,23,37,15,15,13,Inf,3.81563743766818,3.80525029801071,3.83562652728069,3.5434936020969,2.77845188135453,3.07138369726015,2.82548441514079,TRUE,TRUE
"lts2_0521L_24_01",237,1,23,1053,1314,0.995798319327731,0.0213754646840149,2.63541845946387,-2.02613522396763,4.6615536834315,1,1,1,1,1,1,1,0.9375,30,46,44,24,40,20,18,15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,3.56025576832017,TRUE,TRUE
